Date : 2021-11-22 03:48:53
Directory : /Users/selim/Desktop/ops
Total : 62 files,  4193 codes, 158 comments, 1000 blanks, all 5351 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| toml             |          1 |      2,524 |          0 |        217 |      2,741 |
| Python           |         48 |      1,236 |        137 |        597 |      1,970 |
| HTML             |          3 |        246 |          0 |        119 |        365 |
| pip requirements |          1 |         80 |          0 |          1 |         81 |
| YAML             |          3 |         67 |         11 |         20 |         98 |
| Markdown         |          1 |         13 |          0 |         14 |         27 |
| Docker           |          1 |         13 |          3 |         11 |         27 |
| Shell Script     |          3 |         11 |          7 |         20 |         38 |
| Ini              |          1 |          3 |          0 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |         62 |      4,193 |        158 |      1,000 |      5,351 |
| blackops                                                             |         46 |      1,261 |        137 |        598 |      1,996 |
| blackops/api                                                         |         10 |        285 |         68 |        166 |        519 |
| blackops/api/models                                                  |          3 |         84 |          1 |         44 |        129 |
| blackops/api/static                                                  |          1 |         62 |          0 |         25 |         87 |
| blackops/domain                                                      |          6 |        102 |          2 |         36 |        140 |
| blackops/domain/models                                               |          4 |         56 |          2 |         29 |         87 |
| blackops/exchanges                                                   |          9 |        208 |          5 |         82 |        295 |
| blackops/exchanges/binance                                           |          3 |         35 |          0 |         14 |         49 |
| blackops/exchanges/btcturk                                           |          6 |        173 |          5 |         68 |        246 |
| blackops/stgs                                                        |          4 |        300 |         31 |        124 |        455 |
| blackops/streams                                                     |          3 |         43 |          4 |         28 |         75 |
| blackops/taskq                                                       |          4 |        100 |         14 |         56 |        170 |
| blackops/trader                                                      |          2 |        144 |          2 |         52 |        198 |
| blackops/util                                                        |          6 |         78 |         11 |         52 |        141 |
| exp                                                                  |          1 |          8 |          0 |          8 |         16 |
| scripts                                                              |          1 |          3 |          3 |          5 |         11 |
| static                                                               |          2 |        184 |          0 |         94 |        278 |
| tests                                                                |          2 |         29 |          0 |         16 |         45 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                             | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/selim/Desktop/ops/.flake8                                     | Ini              |          3 |          0 |          1 |          4 |
| /Users/selim/Desktop/ops/.pre-commit-config.yaml                     | YAML             |         25 |          0 |          6 |         31 |
| /Users/selim/Desktop/ops/Dockerfile                                  | Docker           |         13 |          3 |         11 |         27 |
| /Users/selim/Desktop/ops/README.md                                   | Markdown         |         13 |          0 |         14 |         27 |
| /Users/selim/Desktop/ops/blackops/__init__.py                        | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/api/__init__.py                    | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/api/auth.py                        | Python           |         14 |          0 |          5 |         19 |
| /Users/selim/Desktop/ops/blackops/api/basics.py                      | Python           |          0 |         35 |         14 |         49 |
| /Users/selim/Desktop/ops/blackops/api/handlers.py                    | Python           |         59 |          8 |         41 |        108 |
| /Users/selim/Desktop/ops/blackops/api/main.py                        | Python           |         17 |          0 |         10 |         27 |
| /Users/selim/Desktop/ops/blackops/api/models/__init__.py             | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/api/models/stg.py                  | Python           |         83 |          1 |         42 |        126 |
| /Users/selim/Desktop/ops/blackops/api/models/validate.py             | Python           |          0 |          0 |          1 |          1 |
| /Users/selim/Desktop/ops/blackops/api/routers.py                     | Python           |         48 |         24 |         26 |         98 |
| /Users/selim/Desktop/ops/blackops/api/static/index.html              | HTML             |         62 |          0 |         25 |         87 |
| /Users/selim/Desktop/ops/blackops/domain/__init__.py                 | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/domain/models/__init__.py          | Python           |          1 |          0 |          1 |          2 |
| /Users/selim/Desktop/ops/blackops/domain/models/asset.py             | Python           |         15 |          0 |          8 |         23 |
| /Users/selim/Desktop/ops/blackops/domain/models/exchange.py          | Python           |         30 |          0 |         12 |         42 |
| /Users/selim/Desktop/ops/blackops/domain/models/stg.py               | Python           |         10 |          2 |          8 |         20 |
